time   pos_x    pos_y    q_x      q_y      q_z    q_w    linear_velocity    angular_velocity    command_velocity command_angle
1535899707.18 0.0955318277927 -5.91296054833 0.0 0.0 0.205104611902 -0.978740056489 0.1 0.18 0.1 0.18
1535899707.23 0.1000223159 -5.91492904758 0.0 0.0 0.200783737053 -0.979635590888 0.1 0.18 0.1 0.18
1535899707.28 0.104686375739 -5.91692475112 0.0 0.0 0.196308854342 -0.980542112154 0.1 0.18 0.1 0.18
1535899707.33 0.109293892287 -5.91884667558 0.0 0.0 0.191901248345 -0.981414240208 0.1 0.18 0.1 0.18
1535899707.38 0.11390851045 -5.92072306008 0.0 0.0 0.18749929517 -0.982264737385 0.1 0.18 0.1 0.18
1535899707.43 0.118544023653 -5.92255967781 0.0 0.0 0.182599319056 -0.983187412796 0.1 0.2 0.1 0.2
1535899707.48 0.123198733774 -5.9243504068 0.0 0.0 0.177693630195 -0.984085856919 0.1 0.2 0.1 0.2
1535899707.53 0.127869041311 -5.92609385998 0.0 0.0 0.172785658432 -0.984959449033 0.1 0.2 0.1 0.2
1535899707.58 0.132565690411 -5.92779399036 0.0 0.0 0.167863756425 -0.985810204491 0.1 0.2 0.1 0.2
1535899707.63 0.137363164717 -5.92947660607 0.0 0.0 0.162849759316 -0.986650878422 0.1 0.2 0.1 0.2
1535899707.68 0.142029505419 -5.93106013307 0.0 0.0 0.15798587567 -0.987441371976 0.1 0.2 0.1 0.2
1535899707.73 0.146818096272 -5.9326326912 0.0 0.0 0.153006995349 -0.988225105618 0.1 0.2 0.1 0.2
1535899707.78 0.151539665629 -5.93413068377 0.0 0.0 0.148109961474 -0.988970899123 0.1 0.2 0.1 0.2
1535899707.83 0.156337415076 -5.93560069216 0.0 0.0 0.143145560178 -0.989701646256 0.1 0.2 0.1 0.2
1535899707.88 0.161120431447 -5.93701383793 0.0 0.0 0.138207755607 -0.99040325943 0.1 0.2 0.1 0.2
1535899707.93 0.165920767976 -5.93838019004 0.0 0.0 0.133262945343 -0.991080716894 0.1 0.2 0.1 0.2
1535899707.98 0.170746829475 -5.93970193349 0.0 0.0 0.128302141815 -0.991735126133 0.1 0.2 0.1 0.2
1535899708.03 0.175577967966 -5.94097323328 0.0 0.0 0.123346241237 -0.992363695816 0.1 0.2 0.1 0.2
1535899708.08 0.180482825438 -5.94221166873 0.0 0.0 0.118324525508 -0.992974977864 0.1 0.2 0.1 0.2
1535899708.13 0.185325711232 -5.94338246588 0.0 0.0 0.113375678887 -0.993552190595 0.1 0.2 0.1 0.2
1535899708.18 0.190184808386 -5.94450605381 0.0 0.0 0.108419135253 -0.994105271644 0.1 0.2 0.1 0.2
1535899708.23 0.195052705729 -5.94558064101 0.0 0.0 0.103462100386 -0.994633396676 0.1 0.2 0.1 0.2
1535899708.28 0.199925895299 -5.94660555242 0.0 0.0 0.0985077614295 -0.995136282596 0.1 0.2 0.1 0.2
1535899708.33 0.204929757235 -5.94760601255 0.0 0.0 0.0934284232692 -0.99562599892 0.1 0.2 0.1 0.2
1535899708.38 0.209824098136 -5.94853273188 0.0 0.0 0.0884677696699 -0.996079039901 0.1 0.2 0.1 0.2
1535899708.43 0.214663241833 -5.94939915336 0.0 0.0 0.0835699003675 -0.996501917586 0.1 0.2 0.1 0.2
1535899708.48 0.219655320045 -5.95024238778 0.0 0.0 0.0785237663678 -0.996912241933 0.1 0.2 0.1 0.2
1535899708.53 0.224582117152 -5.95102337105 0.0 0.0 0.0735498999328 -0.997291538227 0.1 0.2 0.1 0.2
1535899708.58 0.229508323914 -5.95175395674 0.0 0.0 0.0685824095747 -0.997645454606 0.1 0.2 0.1 0.2
1535899708.63 0.234449404104 -5.95243652431 0.0 0.0 0.0636053187194 -0.997975131669 0.1 0.2 0.1 0.2
1535899708.68 0.239512312563 -5.9530845191 0.0 0.0 0.0585106396359 -0.998286784972 0.1 0.2 0.1 0.2
1535899708.73 0.244449682276 -5.95366528305 0.0 0.0 0.0535470452303 -0.998565327831 0.1 0.2 0.1 0.2
1535899708.78 0.249364823477 -5.95419394207 0.0 0.0 0.0486100133313 -0.998817834544 0.1 0.2 0.1 0.2
1535899708.83 0.254308846539 -5.95467631152 0.0 0.0 0.0436478075921 -0.999046980323 0.1 0.2 0.1 0.2
1535899708.88 0.259344679006 -5.95511717848 0.0 0.0 0.0385969953187 -0.999254858358 0.1 0.2 0.1 0.2
1535899708.93 0.26427883617 -5.95549891933 0.0 0.0 0.0336513282871 -0.999433633667 0.1 0.2 0.1 0.2
1535899708.98 0.269301048125 -5.95583750293 0.0 0.0 0.0286201618846 -0.999590359264 0.1 0.2 0.1 0.2
1535899709.03 0.274259814009 -5.95612169359 0.0 0.0 0.0236549611136 -0.999720182258 0.1 0.2 0.1 0.2
1535899709.08 0.279345711531 -5.95636250918 0.0 0.0 0.0185645056065 -0.999827664716 0.1 0.2 0.1 0.2
1535899709.13 0.284253629759 -5.95654482959 0.0 0.0 0.0136538443423 -0.999906781923 0.1 0.2 0.1 0.2
1535899709.18 0.289305432567 -5.95668282124 0.0 0.0 0.00860047548935 -0.999963015227 0.1 0.2 0.1 0.2
1535899709.23 0.294293388758 -5.95676862835 0.0 0.0 0.00361187946652 -0.999993477142 0.1 0.2 0.1 0.2
1535899709.28 0.29928066533 -5.95680465594 0.0 0.0 -0.00137551894644 -0.999999053973 0.1 0.2 0.1 0.2
1535899709.33 0.304272845439 -5.95679092223 0.0 0.0 -0.00636767534742 -0.99997972615 0.1 0.2 0.1 0.2
1535899709.38 0.3092843551 -5.95672709501 0.0 0.0 -0.0113793888788 -0.999935252658 0.1 0.2 0.1 0.2
1535899709.43 0.314243464352 -5.95661420982 0.0 0.0 -0.0163393012681 -0.999866504707 0.1 0.2 0.1 0.18
1535899709.48 0.31925368144 -5.95645041733 0.0 0.0 -0.0208501217274 -0.999782612583 0.1 0.18 0.1 0.18
1535899709.53 0.324321483579 -5.95623895082 0.0 0.0 -0.0254138872353 -0.999677015008 0.1 0.18 0.1 0.18
1535899709.58 0.329282256205 -5.95598656121 0.0 0.0 -0.0298826445158 -0.999553414059 0.1 0.18 0.1 0.18
1535899709.63 0.334260755672 -5.95568862052 0.0 0.0 -0.0343689898653 -0.999409211752 0.1 0.18 0.1 0.18
1535899709.68 0.33923697454 -5.95534595785 0.0 0.0 -0.0388551788302 -0.999244852415 0.1 0.18 0.1 0.18
1535899709.73 0.344214979282 -5.95495823674 0.0 0.0 -0.0433451509252 -0.999060157293 0.1 0.18 0.1 0.18
1535899709.78 0.349179868726 -5.95452661161 0.0 0.0 -0.0478257387797 -0.998855694638 0.1 0.18 0.1 0.18
1535899709.83 0.354156801107 -5.95404892018 0.0 0.0 -0.0523199142917 -0.998630375348 0.1 0.18 0.1 0.18
1535899709.88 0.359199821561 -5.95351904118 0.0 0.0 -0.0568768065982 -0.998381204186 0.1 0.18 0.1 0.18
1535899709.93 0.364113933098 -5.9529573138 0.0 0.0 -0.0613205236579 -0.998118125964 0.1 0.18 0.1 0.18
1535899709.98 0.369120102061 -5.95233986391 0.0 0.0 -0.0658510255247 -0.997829465609 0.1 0.18 0.1 0.18
1535899710.03 0.374058889242 -5.95168514918 0.0 0.0 -0.0703244114945 -0.997524173716 0.1 0.18 0.1 0.18
1535899710.08 0.378997343 -5.9509853595 0.0 0.0 -0.0748015832683 -0.997198437193 0.1 0.18 0.1 0.18
1535899710.13 0.383908474743 -5.95024440531 0.0 0.0 -0.07925833881 -0.996854109551 0.1 0.18 0.1 0.18
1535899710.18 0.388932640047 -5.94944039536 0.0 0.0 -0.0838223677318 -0.996480712642 0.1 0.18 0.1 0.18
1535899710.23 0.393849773799 -5.94860725726 0.0 0.0 -0.0882942064463 -0.996094439854 0.1 0.18 0.1 0.18
1535899710.28 0.398766787855 -5.94772866188 0.0 0.0 -0.0927711459324 -0.995687458233 0.1 0.18 0.1 0.18
1535899710.33 0.403630504647 -5.94681439115 0.0 0.0 -0.0972050148413 -0.995264379494 0.1 0.18 0.1 0.18
1535899710.38 0.408568595866 -5.94584051908 0.0 0.0 -0.101712436495 -0.994813842014 0.1 0.18 0.1 0.18
1535899710.43 0.413453976369 -5.94483097694 0.0 0.0 -0.106177850769 -0.994347154673 0.1 0.18 0.1 0.16
1535899710.48 0.418409655799 -5.94376042069 0.0 0.0 -0.110210034422 -0.993908319873 0.1 0.16 0.1 0.16
1535899710.53 0.423264390898 -5.94267037838 0.0 0.0 -0.114165387043 -0.993461757896 0.1 0.16 0.1 0.16
1535899710.58 0.428133073668 -5.94153641714 0.0 0.0 -0.118137510912 -0.992997244969 0.1 0.16 0.1 0.16
1535899710.63 0.432996609911 -5.94036256647 0.0 0.0 -0.122111077104 -0.992516440594 0.1 0.16 0.1 0.16
1535899710.68 0.437813931288 -5.93915898063 0.0 0.0 -0.126052696784 -0.992023546915 0.1 0.16 0.1 0.16
1535899710.73 0.442650301538 -5.93790973176 0.0 0.0 -0.130015891273 -0.991511910174 0.1 0.16 0.1 0.16
1535899710.78 0.447431797771 -5.93663380758 0.0 0.0 -0.133940302789 -0.990989402208 0.1 0.16 0.1 0.16
1535899710.83 0.452274666967 -5.93530034162 0.0 0.0 -0.137921480135 -0.990443166122 0.1 0.16 0.1 0.16
1535899710.88 0.457068178303 -5.93393892729 0.0 0.0 -0.141868748815 -0.98988547727 0.1 0.16 0.1 0.16
1535899710.93 0.461859995814 -5.93253661283 0.0 0.0 -0.145821442752 -0.989310925257 0.1 0.16 0.1 0.16
1535899710.98 0.466734783287 -5.93106764022 0.0 0.0 -0.149849732613 -0.988708783028 0.1 0.16 0.1 0.16
1535899711.03 0.471493219315 -5.92959134149 0.0 0.0 -0.153789276281 -0.988103667892 0.1 0.16 0.1 0.16
1535899711.08 0.476205369497 -5.92808812144 0.0 0.0 -0.157697879744 -0.987487406869 0.1 0.16 0.1 0.16
1535899711.13 0.480937670332 -5.92653710625 0.0 0.0 -0.161630761261 -0.986851304409 0.1 0.16 0.1 0.16
1535899711.18 0.485698700578 -5.92493455316 0.0 0.0 -0.165595405984 -0.986193774832 0.1 0.16 0.1 0.16
1535899711.23 0.490432319619 -5.92329875319 0.0 0.0 -0.169545383525 -0.985522380733 0.1 0.16 0.1 0.16
1535899711.28 0.495119039357 -5.92163700176 0.0 0.0 -0.17346451923 -0.984840119293 0.1 0.16 0.1 0.16
1535899711.33 0.49986938046 -5.91991002521 0.0 0.0 -0.177445406759 -0.984130645606 0.1 0.16 0.1 0.16
1535899711.38 0.504517958342 -5.91817735518 0.0 0.0 -0.181349808841 -0.98341865288 0.1 0.16 0.1 0.16
1535899711.43 0.50919785215 -5.91639057844 0.0 0.0 -0.185289403229 -0.982683996538 0.1 0.16 0.1 0.16
1535899711.48 0.51383851639 -5.91457603082 0.0 0.0 -0.188715835225 -0.98203173754 0.1 0.14 0.1 0.14
1535899711.53 0.518482286755 -5.91272281853 0.0 0.0 -0.192151714641 -0.981365231991 0.1 0.14 0.1 0.14
1535899711.58 0.52312900215 -5.91083061817 0.0 0.0 -0.195597122644 -0.980684335356 0.1 0.14 0.1 0.14
1535899711.63 0.527726929871 -5.90892052443 0.0 0.0 -0.199013834957 -0.979996680349 0.1 0.14 0.1 0.14
1535899711.68 0.532321925437 -5.90697398237 0.0 0.0 -0.202435942207 -0.979295506629 0.1 0.14 0.1 0.14
1535899711.73 0.536908178158 -5.90499323972 0.0 0.0 -0.205859286568 -0.978581603206 0.1 0.14 0.1 0.14
1535899711.78 0.541535476546 -5.90295625316 0.0 0.0 -0.209321255321 -0.977846926707 0.1 0.14 0.1 0.14
1535899711.83 0.546090662098 -5.90091240021 0.0 0.0 -0.212737437254 -0.977109401649 0.1 0.14 0.1 0.14
1535899711.88 0.550616358405 -5.89884365641 0.0 0.0 -0.216139679544 -0.976362452641 0.1 0.14 0.1 0.14
1535899711.93 0.555166222485 -5.89672542233 0.0 0.0 -0.219568444291 -0.975597098331 0.1 0.14 0.1 0.14
1535899711.98 0.559659448407 -5.89459501643 0.0 0.0 -0.222963050882 -0.974826896398 0.1 0.14 0.1 0.14
1535899712.03 0.564153236475 -5.89242589872 0.0 0.0 -0.226366692821 -0.974042155341 0.1 0.14 0.1 0.14
1535899712.08 0.568739995198 -5.8901722623 0.0 0.0 -0.229849728137 -0.973226131213 0.1 0.14 0.1 0.14
1535899712.13 0.573174218013 -5.8879540481 0.0 0.0 -0.233226087232 -0.972422537909 0.1 0.14 0.1 0.14
1535899712.18 0.577634455587 -5.88568397678 0.0 0.0 -0.236631321849 -0.971599514986 0.1 0.14 0.1 0.14
1535899712.23 0.582053547416 -5.88339572357 0.0 0.0 -0.240014421194 -0.970769322558 0.1 0.14 0.1 0.14
1535899712.28 0.586467749172 -5.88107086126 0.0 0.0 -0.243403171166 -0.969925201377 0.1 0.14 0.1 0.14
1535899712.33 0.590843999865 -5.87872679695 0.0 0.0 -0.246772326602 -0.969073484739 0.1 0.14 0.1 0.14
1535899712.38 0.595243132964 -5.87633098101 0.0 0.0 -0.250168815601 -0.968202232853 0.1 0.14 0.1 0.14
1535899712.43 0.599689973158 -5.87386859268 0.0 0.0 -0.253612242065 -0.967305965388 0.1 0.14 0.1 0.14
1535899712.48 0.603973151143 -5.87145684567 0.0 0.0 -0.256464010233 -0.966553780943 0.1 0.12 0.1 0.12
1535899712.53 0.608367442069 -5.86894828145 0.0 0.0 -0.259397228785 -0.96577071694 0.1 0.12 0.1 0.12
1535899712.58 0.612636155628 -5.86647691949 0.0 0.0 -0.26225428643 -0.964998802719 0.1 0.12 0.1 0.12
1535899712.63 0.616983827818 -5.8639253667 0.0 0.0 -0.265171874824 -0.964201159926 0.1 0.12 0.1 0.12
1535899712.68 0.621268717422 -5.86137568664 0.0 0.0 -0.268055243257 -0.963403542947 0.1 0.12 0.1 0.12
1535899712.73 0.625539050766 -5.85879994653 0.0 0.0 -0.27093673592 -0.962597156203 0.1 0.12 0.1 0.12
1535899712.78 0.629799873797 -5.85619504117 0.0 0.0 -0.273819847722 -0.961780999497 0.1 0.12 0.1 0.12
1535899712.83 0.634119793718 -5.85351831036 0.0 0.0 -0.276751225601 -0.960941600269 0.1 0.12 0.1 0.12
1535899712.88 0.638346083983 -5.85086379018 0.0 0.0 -0.27962749641 -0.960108568471 0.1 0.12 0.1 0.12
1535899712.93 0.642517783182 -5.84820858604 0.0 0.0 -0.28247491277 -0.959274686237 0.1 0.12 0.1 0.12
1535899712.98 0.64673506655 -5.84548907133 0.0 0.0 -0.285361864772 -0.958419848571 0.1 0.12 0.1 0.12
