time   x    y    orientation    linear_velocity    angular_velocity    command_velocity command_angle
92.886 20.4996856892 4.14538960148 2.15752199566 -0.304531923578 -0.0420116826607 11.0 -0.10000000149
92.973 20.4712138879 4.18852424859 2.15282782996 -0.302743427413 -0.120816398979 11.0 -0.20000000298
93.097 20.4345317137 4.24523078427 2.1369134339 -0.294348459286 -0.154604815707 11.0 -0.20000000298
93.175 20.4120992655 4.28102249435 2.12427306814 -0.288285727922 -0.174983948047 11.0 -0.20000000298
93.298 20.3776083611 4.33830191105 2.10076496103 -0.276885906869 -0.205277027471 11.0 -0.20000000298
93.369 20.3577431546 4.37297867207 2.08383192141 -0.268192003836 -0.254564737321 11.0 -0.300000011921
93.485 20.3272917494 4.42911589865 2.05087581113 -0.25182452219 -0.309763284834 11.0 -0.300000011921
93.565 20.3077509514 4.46800228997 2.02499850765 -0.240040414196 -0.389960759591 11.0 -0.40000000596
93.657 20.2869574713 4.51354775828 1.99236179751 -0.221716175732 -0.368433909765 11.0 -0.40000000596
93.78 20.2608549603 4.5760335348 1.94548249061 -0.20323262419 -0.387670773165 11.0 -0.5
93.875 20.2434837056 4.62347161319 1.9060370103 -0.175038095949 -0.390907129618 11.0 -0.5
93.993 20.2248648644 4.68256345188 1.85217304568 -0.138534518477 -0.476211519608 11.0 -0.5
94.068 20.2149878876 4.71980040893 1.81369929619 -0.120432101915 -0.521015058263 11.0 -0.5
94.191 20.2025121305 4.77911779318 1.74695976097 -0.0864099413103 -0.561818189351 11.0 -0.5
94.272 20.196483872 4.81859673937 1.7000140385 -0.0652987857154 -0.575608449216 11.0 -0.5
94.392 20.1909262999 4.8784970302 1.62851361002 -0.0322786331693 -0.639098762802 11.0 -0.5
94.456 20.1896667265 4.91135824194 1.58885078216 -0.00642844968186 -0.599521208248 11.0 -0.5
94.556 20.1903614204 4.95976865703 1.5280043451 0.0259672784325 -0.58759286421 12.0 -0.5
94.686 20.196672319 5.02583406499 1.4445296698 0.0677352552464 -0.699197277296 12.0 -0.5
94.77 20.2041747669 5.07070714797 1.38802301419 0.09876286147 -0.694995187576 12.0 -0.5
94.881 20.2179636161 5.13095844272 1.30812981503 0.14618985362 -0.703678626309 12.0 -0.5
94.986 20.2353623923 5.18621317031 1.23273471688 0.191149938323 -0.669231497465 12.0 -0.5
95.092 20.2568564637 5.23994163334 1.15683243788 0.217736139371 -0.734299082493 12.0 -0.5
95.175 20.2763693144 5.28060536633 1.09745590589 0.251065103659 -0.72341889 12.0 -0.5
95.259 20.2982872334 5.32010320117 1.03792489936 0.283062867715 -0.719067556802 12.0 -0.5
95.386 20.3364520053 5.37805551473 0.945514390908 0.317293342215 -0.737492298565 12.0 -0.5
95.458 20.3593467073 5.40771546337 0.896236162368 0.342246475881 -0.711120629908 12.0 -0.5
95.577 20.4030104015 5.45732505981 0.806768925034 0.373862544762 -0.756520605011 12.0 -0.5
95.696 20.4481190894 5.50034571353 0.721385555697 0.410059358852 -0.743433309144 12.0 -0.5
95.765 20.4785305954 5.52546260252 0.667640351049 0.42724133695 -0.726069701408 12.0 -0.5
95.883 20.5344888113 5.56472729812 0.5852206183 0.505367090901 -0.892559631423 12.0 -0.5
96.018 20.6064568985 5.60760810028 0.471782539265 0.547156131499 -0.65288712806 12.0 -0.5
96.102 20.6508878494 5.62812519507 0.422558036066 0.568356107602 -0.573714279245 12.0 -0.5
96.194 20.7065799724 5.65107669274 0.36725082728 0.576876641871 -0.490697337316 12.0 -0.5
96.28 20.7541141678 5.6677729257 0.32425385611 0.553077490626 -0.647514865846 12.0 -0.5
96.397 20.8204099995 5.68751193803 0.259075385212 0.539712399098 -0.59153590647 12.0 -0.5
96.477 20.8630642566 5.69764660157 0.208702868867 0.521224673378 -0.630732310226 12.0 -0.5
96.577 20.9155646254 5.7069600409 0.142078096987 0.51769847342 -0.681065948034 12.0 -0.5
96.689 20.981039067 5.71348865707 0.0697364286136 0.564993022923 -0.801176409268 12.0 -0.5
96.772 21.0247634357 5.71540070127 0.0162762999607 0.527159239018 -0.665287030042 12.0 -0.5
96.889 21.0859521049 5.71384501081 -0.0642020393503 0.508149776475 -0.731733224329 12.0 -0.5
96.983 21.1347761721 5.70869675955 -0.129635937453 0.516290614204 -0.764628501841 12.0 -0.5
97.093 21.191419487 5.69867758686 -0.206745679623 0.521411323205 -0.73671443332 12.0 -0.5
97.198 21.2465567331 5.68469731143 -0.284076157799 0.510765180253 -0.714709659184 12.0 -0.5
97.289 21.2930046045 5.66894284401 -0.348432247795 0.505826373066 -0.739602907642 12.0 -0.5
97.398 21.3473170156 5.64646261685 -0.4276242846 0.493240876263 -0.728048184218 12.0 -0.5
97.476 21.3850625878 5.6277102467 -0.484478830767 0.481877602199 -0.747791987 12.0 -0.5
97.599 21.4424523627 5.59382589314 -0.575633390978 0.451062293691 -0.771020694634 12.0 -0.5
97.68 21.4784328168 5.56875558969 -0.635670839996 0.436678831612 -0.73156918945 12.0 -0.5
97.8 21.5287126415 5.52788186505 -0.724375040608 0.405070931288 -0.75207478906 12.0 -0.5
97.876 21.5586252353 5.49969252397 -0.781066468824 0.385843221497 -0.748773140614 12.0 -0.5
